CustID,IMEI/MEID,IMEI2,Serial Number,Order Date,Order Number,Model,User ID,Tags,Submitted,Profile,Status,Reseller ID,Reseller Name,Last Modified Time,Last Seen
16244,354491513537764,357022903537762,R58W30N282D,20 Jan 1970 11:20:38 GMT,NZHG_SDS386944,SM-A235F/DS,,,26 Apr 2023 09:52:26 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,11 Dec 2023 00:25:40 GMT,11 Dec 2023 00:25:40 GMT
16244,354491513516297,357022903516295,R58W30KA6MW,20 Jan 1970 11:20:38 GMT,NZHG_SDS386944,SM-A235F/DS,,,26 Apr 2023 09:52:26 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 23:39:30 GMT,10 Dec 2023 23:39:30 GMT
16244,354491513347941,357022903347949,R58W20LZD0T,20 Jan 1970 13:21:36 GMT,NZHG_SDS403037C,SM-A235F/DS,,,19 Jul 2023 09:53:10 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 19:03:17 GMT,10 Dec 2023 19:03:17 GMT
16244,351662616797124,352465216797125,R58NB44GR4V,,,SM-A217F/DS,,,13 Apr 2021 21:24:21 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 06:58:33 GMT,10 Dec 2023 06:58:33 GMT
16244,354491513347719,357022903347717,R58W20LZCAY,20 Jan 1970 14:12:00 GMT,NZHG_SDS410411,SM-A235F/DS,,,23 Aug 2023 09:54:35 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 04:14:06 GMT,10 Dec 2023 04:14:06 GMT
16244,354491513519291,357022903519299,R58W30KAFQK,20 Jan 1970 12:38:24 GMT,NZHG_SDS397184,SM-A235F/DS,,,19 Jun 2023 09:53:36 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 02:08:55 GMT,10 Dec 2023 02:08:55 GMT
16244,354491513509235,357022903509233,R58W30K9J8A,20 Jan 1970 12:31:12 GMT,NZHG_SDS396298,SM-A235F/DS,,,14 Jun 2023 09:53:37 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,10 Dec 2023 00:05:15 GMT,10 Dec 2023 00:05:15 GMT
16244,351662616377968,352465216377969,R58NB1WVX3T,,,SM-A217F/DS,,,24 Mar 2021 22:00:17 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,09 Dec 2023 15:54:06 GMT,09 Dec 2023 15:54:06 GMT
16244,354491513266372,357022903266370,R58W11KZAAX,20 Jan 1970 15:54:10 GMT,MaaS_NZHG_0211231130_147,SM-A235F/DS,,,03 Nov 2023 09:07:44 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,08 Dec 2023 20:28:50 GMT,08 Dec 2023 20:28:50 GMT
16244,354491513272230,357022903272238,R58W11KZV2W,20 Jan 1970 13:50:24 GMT,NZHG_SDS407454A,SM-A235F/DS,,,09 Aug 2023 02:52:12 GMT,NZHG Device Owner Profile (DO_AE_ZT) Production,DO enrollment,6404724587,2degrees,08 Dec 2023 05:40:20 GMT,08 Dec 2023 05:40:20 GMT
